season,name,team,era,pa,win_shares,average,power,walks,speed,pct_appearances_1,pct_appearances_2,pct_appearances_3,pct_appearances_4,pct_appearances_5,pct_appearances_6,pct_appearances_7,pct_appearances_8,pct_appearances_9
1980,Bob Boone,PHI,1970-2009,535,9,0.1,2.0,2.8,0.1,0.0,0.0,0.0,0.2,27.9,23.6,3.7,43.6,1.1
1982,Bob Boone,CAL,1970-2009,539,16,1.1,0.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10.6,89.2
1983,Bob Boone,CAL,1970-2009,509,12,1.2,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,4.5,11.4,17.1,67.0
1985,Bob Boone,CAL,1970-2009,520,14,1.0,0.2,1.7,0.0,0.0,0.0,0.0,0.0,2.3,1.0,20.0,50.2,26.5
1986,Bob Boone,CAL,1970-2009,503,12,0.1,0.5,2.3,1.1,0.0,0.0,0.2,0.0,0.4,0.0,5.2,32.6,61.6
1992,Mike Bordick,OAK,1970-2009,572,21,4.1,0.5,1.4,3.1,0.2,3.3,0.2,0.0,0.0,0.0,13.1,74.3,8.9
1993,Mike Bordick,OAK,1970-2009,633,13,0.6,0.2,2.6,1.6,17.1,7.3,0.0,0.3,0.0,0.2,10.1,44.7,20.4
1994,Mike Bordick,OAK,1970-2009,440,9,0.7,0.4,1.9,3.1,2.3,10.5,0.0,0.0,0.0,0.0,21.6,46.8,18.9
1995,Mike Bordick,OAK,1970-2009,478,14,1.3,0.4,1.0,1.6,7.1,4.0,7.1,0.0,0.0,0.0,3.3,29.1,49.4
1996,Mike Bordick,OAK,1970-2009,587,6,0.1,0.2,2.1,1.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18.4,75.6
1997,Mike Bordick,BAL,1970-2009,560,10,0.1,0.2,0.7,0.4,0.0,2.3,0.0,0.0,0.0,0.0,0.0,4.3,93.4
1998,Mike Bordick,BAL,1970-2009,533,15,0.8,1.6,1.6,1.2,0.2,2.3,0.0,0.0,0.0,0.0,0.6,9.0,88.0
1999,Mike Bordick,BAL,1970-2009,708,20,1.7,0.9,1.4,3.8,0.0,87.4,0.0,0.0,0.0,0.1,4.5,6.8,1.1
2000,Mike Bordick,- - -,1970-2009,644,16,2.5,2.0,1.3,1.9,5.6,49.5,0.0,0.0,0.0,0.0,1.9,22.7,20.3
2011,Peter Bourjos,LAA,2010-present,552,20,2.6,2.3,1.0,4.8,14.5,12.0,1.6,0.0,0.0,0.7,7.6,30.3,33.3
2008,Michael Bourn,HOU,1970-2009,514,7,0.1,0.1,1.3,4.7,64.2,16.0,0.0,0.2,0.2,0.0,15.4,1.9,2.1
2009,Michael Bourn,HOU,1970-2009,678,25,3.0,0.4,2.5,5.0,81.4,13.7,0.0,0.0,0.0,0.0,0.0,4.4,0.4
2010,Michael Bourn,HOU,2010-present,605,26,2.0,0.3,3.0,4.9,97.5,1.5,0.0,0.0,0.0,0.0,0.0,0.2,0.8
2011,Michael Bourn,- - -,2010-present,722,18,3.7,0.4,1.6,4.9,96.5,3.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1
2012,Michael Bourn,ATL,2010-present,703,27,2.4,0.8,3.5,4.9,99.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6
2013,Michael Bourn,CLE,2010-present,575,14,1.9,0.4,1.5,4.6,99.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.2
1970,Larry Bowa,PHI,1970-2009,577,7,0.6,0.2,0.1,4.1,34.7,20.3,0.0,0.0,0.0,0.0,25.5,19.6,0.0
1971,Larry Bowa,PHI,1970-2009,696,17,0.8,0.0,0.8,4.4,42.2,46.3,0.0,0.0,0.0,0.0,0.0,11.5,0.0
1972,Larry Bowa,PHI,1970-2009,633,12,1.4,0.8,0.6,4.7,40.0,47.6,0.0,0.0,0.0,0.0,5.7,6.8,0.0
1974,Larry Bowa,PHI,1970-2009,720,14,2.3,0.4,0.0,5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,Larry Bowa,PHI,1970-2009,629,16,4.1,0.8,0.1,4.6,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1976,Larry Bowa,PHI,1970-2009,672,13,0.9,0.4,0.7,4.4,0.7,79.9,0.0,0.0,0.0,0.0,2.1,17.3,0.0
1977,Larry Bowa,PHI,1970-2009,675,19,2.4,0.1,0.4,4.2,2.4,79.4,0.0,0.0,0.0,0.0,6.4,11.9,0.0
1978,Larry Bowa,PHI,1970-2009,692,23,4.0,0.7,0.1,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Larry Bowa,PHI,1970-2009,619,13,0.3,0.3,3.1,4.3,0.0,72.2,0.0,0.0,0.0,0.0,5.0,22.8,0.0
1980,Larry Bowa,PHI,1970-2009,577,10,1.5,0.2,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,11.4,0.0
1981,Larry Bowa,PHI,1970-2009,391,11,2.8,0.4,1.3,3.6,0.0,1.3,0.3,0.0,0.0,0.5,87.7,10.0,0.3
1982,Larry Bowa,CHC,1970-2009,549,5,0.5,0.2,1.6,3.4,0.4,24.0,0.0,0.0,0.0,0.0,24.4,51.0,0.2
1983,Larry Bowa,CHC,1970-2009,545,13,1.8,0.6,1.0,3.5,6.2,21.1,0.0,0.0,0.0,0.0,18.3,53.9,0.4
2008,Ryan Braun,MIL,1970-2009,663,23,2.9,4.7,0.8,4.1,0.0,0.0,89.3,8.6,1.7,0.0,0.0,0.0,0.5
2009,Ryan Braun,MIL,1970-2009,708,28,4.6,4.0,1.7,4.2,0.0,0.0,99.7,0.0,0.0,0.1,0.0,0.0,0.1
2010,Ryan Braun,MIL,2010-present,685,23,4.4,3.4,2.2,2.7,0.0,2.6,75.9,21.2,0.0,0.1,0.0,0.0,0.1
2011,Ryan Braun,MIL,2010-present,629,33,4.9,4.9,2.9,4.6,0.0,0.0,99.4,0.0,0.3,0.2,0.0,0.2,0.0
2012,Ryan Braun,MIL,2010-present,677,29,4.8,5.0,3.0,3.8,0.0,0.0,99.9,0.0,0.0,0.1,0.0,0.0,0.0
2014,Ryan Braun,MIL,2010-present,580,12,2.1,4.0,2.0,3.7,0.0,33.8,56.0,0.9,9.3,0.0,0.0,0.0,0.0
2015,Ryan Braun,MIL,2010-present,568,18,3.3,4.3,3.7,4.5,0.7,0.7,97.4,0.0,0.2,0.0,0.0,0.0,1.1
2016,Ryan Braun,MIL,2010-present,564,19,4.3,4.1,2.1,3.6,0.0,0.2,98.4,0.7,0.0,0.0,0.0,0.0,0.7
2019,Ryan Braun,MIL,2010-present,508,13,3.2,2.7,1.2,3.9,0.2,0.0,51.0,21.1,15.0,7.5,0.6,1.6,3.1
1975,George Brett,KCR,1970-2009,697,26,4.4,3.2,1.3,4.1,0.7,27.5,22.5,0.0,3.4,39.7,4.3,1.7,0.0
1976,George Brett,KCR,1970-2009,705,30,5.0,3.1,1.9,4.2,0.0,3.4,96.0,0.0,0.0,0.6,0.0,0.0,0.0
1977,George Brett,KCR,1970-2009,627,31,4.6,4.4,2.7,4.0,58.1,7.3,34.4,0.0,0.2,0.0,0.0,0.0,0.0
1978,George Brett,KCR,1970-2009,558,23,4.1,3.5,1.5,4.8,30.5,15.8,41.2,9.7,0.0,2.9,0.0,0.0,0.0
1979,George Brett,KCR,1970-2009,701,34,4.9,4.4,1.9,4.2,10.6,40.8,26.7,22.0,0.0,0.0,0.0,0.0,0.0
1980,George Brett,KCR,1970-2009,515,35,5.0,4.9,3.8,4.1,0.0,0.0,97.3,2.1,0.0,0.0,0.0,0.6,0.0
1981,George Brett,KCR,1970-2009,379,13,4.7,4.0,1.7,4.3,0.0,0.0,97.4,2.1,0.3,0.0,0.0,0.3,0.0
1982,George Brett,KCR,1970-2009,629,27,4.3,3.9,3.9,3.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,George Brett,KCR,1970-2009,525,21,4.6,4.8,4.0,0.8,0.0,0.4,99.6,0.0,0.0,0.0,0.0,0.0,0.0
1985,George Brett,KCR,1970-2009,665,35,4.9,4.7,5.0,3.3,0.0,0.0,99.7,0.0,0.0,0.0,0.0,0.3,0.0
1986,George Brett,KCR,1970-2009,529,18,4.0,3.3,4.8,1.4,0.0,0.0,69.4,30.4,0.0,0.0,0.2,0.0,0.0
1987,George Brett,KCR,1970-2009,508,15,3.6,3.2,4.5,1.8,0.0,0.0,75.6,24.4,0.0,0.0,0.0,0.0,0.0
1988,George Brett,KCR,1970-2009,681,24,4.4,4.0,4.3,2.6,0.0,0.0,78.4,21.6,0.0,0.0,0.0,0.0,0.0
1989,George Brett,KCR,1970-2009,528,13,3.2,3.2,3.8,3.0,0.0,0.0,98.1,1.3,0.0,0.0,0.2,0.2,0.2
1990,George Brett,KCR,1970-2009,607,20,5.0,4.1,2.7,3.4,0.0,0.0,65.2,15.8,18.5,0.2,0.3,0.0,0.0
1991,George Brett,KCR,1970-2009,572,9,1.0,2.2,3.1,2.0,0.0,0.0,97.9,1.7,0.2,0.2,0.0,0.0,0.0
1992,George Brett,KCR,1970-2009,638,10,3.3,1.4,0.5,2.3,0.0,0.0,51.1,3.8,44.8,0.2,0.0,0.0,0.2
1993,George Brett,KCR,1970-2009,612,8,1.7,3.1,0.9,2.2,0.0,0.0,98.2,0.0,0.8,0.2,0.0,0.7,0.2
1970,Ed Brinkman,WAS,1970-2009,695,19,2.0,0.0,2.2,1.2,47.8,16.1,0.0,0.0,0.0,14.1,20.4,1.4,0.1
1971,Ed Brinkman,DET,1970-2009,589,10,0.2,0.1,1.6,0.8,1.5,0.0,0.0,0.0,0.0,0.0,0.7,97.8,0.0
1972,Ed Brinkman,DET,1970-2009,571,11,0.0,1.3,1.4,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.5,98.8,0.0
1973,Ed Brinkman,DET,1970-2009,566,8,0.4,0.9,1.0,1.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,10.6,88.7
1974,Ed Brinkman,DET,1970-2009,546,15,0.1,2.6,0.9,2.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,64.5
2010,Jay Bruce,CIN,2010-present,573,22,3.2,3.9,3.4,2.8,2.6,0.9,2.6,0.9,38.6,46.9,5.2,0.2,2.1
2011,Jay Bruce,CIN,2010-present,664,16,1.6,3.9,3.7,2.0,0.0,4.5,2.3,40.1,43.5,6.6,2.1,0.2,0.8
2012,Jay Bruce,CIN,2010-present,633,17,1.0,4.9,3.4,3.5,0.0,0.0,4.9,15.2,76.8,2.1,0.6,0.0,0.5
2013,Jay Bruce,CIN,2010-present,697,23,1.8,4.3,3.1,2.2,0.0,0.0,0.0,16.4,82.9,0.7,0.0,0.0,0.0
2014,Jay Bruce,CIN,2010-present,545,6,0.1,2.7,2.8,3.5,0.0,13.6,2.6,42.4,32.3,8.4,0.0,0.2,0.6
2015,Jay Bruce,CIN,2010-present,649,9,0.1,4.1,3.2,2.8,0.0,8.0,0.0,38.2,35.9,15.4,1.8,0.5,0.2
2016,Jay Bruce,- - -,2010-present,589,12,1.0,4.6,1.7,3.0,0.0,0.0,6.5,50.8,33.3,8.5,0.0,0.0,1.0
2017,Jay Bruce,- - -,2010-present,617,16,1.4,4.3,2.7,1.0,0.0,0.0,37.3,31.9,24.5,4.7,1.5,0.0,0.2
2015,Kris Bryant,CHC,2010-present,650,27,2.7,4.2,4.3,3.8,0.0,18.8,46.2,12.3,22.0,0.0,0.0,0.8,0.0
2016,Kris Bryant,CHC,2010-present,699,30,3.7,4.7,3.9,3.2,0.0,54.2,39.3,0.0,6.4,0.0,0.0,0.0,0.0
2017,Kris Bryant,CHC,2010-present,665,28,3.9,4.1,4.7,3.1,0.0,74.0,25.0,0.5,0.0,0.0,0.0,0.3,0.3
2019,Kris Bryant,CHC,2010-present,634,20,3.0,3.5,4.1,2.6,0.0,57.4,39.3,1.3,1.7,0.0,0.2,0.0,0.2
2021,Kris Bryant,- - -,2010-present,586,18,2.4,3.0,3.4,3.2,0.0,54.8,12.3,16.0,14.7,1.4,0.0,0.3,0.5
1983,Brett Butler,ATL,1970-2009,613,17,3.2,1.5,2.4,4.7,97.6,0.0,0.7,0.3,0.0,0.0,0.0,0.3,1.1
1984,Brett Butler,CLE,1970-2009,709,17,1.8,0.9,4.5,4.6,98.9,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.7
1985,Brett Butler,CLE,1970-2009,666,21,4.7,1.4,3.2,4.7,85.7,14.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
1986,Brett Butler,CLE,1970-2009,683,20,3.1,0.8,3.4,4.7,46.9,38.9,0.0,0.0,0.0,0.0,12.2,1.9,0.1
1987,Brett Butler,CLE,1970-2009,618,20,3.9,0.9,4.6,4.1,94.3,3.1,0.0,0.0,0.0,0.0,0.0,2.6,0.0
1988,Brett Butler,SFG,1970-2009,679,28,3.7,1.7,4.7,4.6,99.6,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0
1989,Brett Butler,SFG,1970-2009,672,16,3.8,0.6,2.4,3.9,99.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.4
1990,Brett Butler,SFG,1970-2009,732,25,4.5,0.5,4.0,4.8,99.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1991,Brett Butler,LAD,1970-2009,730,26,4.0,0.0,4.5,3.6,99.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1992,Brett Butler,LAD,1970-2009,676,22,4.4,0.7,4.5,4.5,57.5,41.4,0.0,0.1,0.0,0.1,0.1,0.0,0.6
1993,Brett Butler,LAD,1970-2009,716,15,3.7,0.5,4.2,4.2,95.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1994,Brett Butler,LAD,1970-2009,496,18,4.1,1.4,4.6,4.7,83.7,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1995,Brett Butler,- - -,1970-2009,596,11,3.6,0.3,3.6,4.7,99.7,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0
2006,Melky Cabrera,NYY,1970-2009,524,14,2.0,0.8,3.9,3.5,16.4,17.0,0.0,0.0,0.0,0.0,15.5,23.5,27.7
2007,Melky Cabrera,NYY,1970-2009,612,11,1.8,0.7,1.4,3.8,26.5,14.2,0.0,0.0,0.0,2.0,9.5,12.6,35.3
2009,Melky Cabrera,NYY,1970-2009,540,11,2.0,1.5,1.9,2.9,0.4,1.1,0.4,0.0,0.0,5.4,26.3,42.0,24.4
2010,Melky Cabrera,ATL,2010-present,509,5,1.1,0.6,2.3,3.0,7.3,9.0,1.2,0.0,2.0,16.3,19.8,37.9,6.5
2011,Melky Cabrera,KCR,2010-present,706,18,4.5,2.2,0.5,3.6,4.8,93.9,0.7,0.0,0.0,0.6,0.0,0.0,0.0
2014,Melky Cabrera,TOR,2010-present,621,17,4.6,2.8,2.0,2.8,12.2,81.0,6.6,0.0,0.0,0.0,0.0,0.0,0.2
2015,Melky Cabrera,CHW,2010-present,683,12,2.9,1.2,1.5,1.5,0.0,35.0,30.0,26.1,5.0,4.0,0.0,0.0,0.0
2016,Melky Cabrera,CHW,2010-present,646,14,4.1,1.6,1.9,1.8,0.0,8.7,37.5,24.8,29.1,0.0,0.0,0.0,0.0
2017,Melky Cabrera,- - -,2010-present,666,9,3.6,0.7,0.6,0.7,8.7,43.4,35.3,11.9,0.6,0.2,0.0,0.0,0.0
2004,Miguel Cabrera,FLA,1970-2009,685,19,3.5,3.6,3.0,1.5,0.0,1.3,41.6,53.4,3.5,0.1,0.0,0.0,0.0
2005,Miguel Cabrera,FLA,1970-2009,685,25,4.9,4.1,2.8,1.2,0.0,0.0,51.1,47.4,1.3,0.0,0.0,0.1,0.0
2006,Miguel Cabrera,FLA,1970-2009,676,27,4.9,3.8,4.2,2.4,0.3,0.0,73.4,26.3,0.0,0.0,0.0,0.0,0.0
2007,Miguel Cabrera,FLA,1970-2009,680,21,4.5,4.4,3.9,1.0,0.0,0.0,58.7,41.2,0.0,0.0,0.0,0.0,0.1
2008,Miguel Cabrera,DET,1970-2009,684,17,3.4,4.4,2.2,0.6,0.0,0.0,0.7,35.1,62.3,1.8,0.1,0.0,0.0
2009,Miguel Cabrera,DET,1970-2009,685,25,4.8,3.7,3.1,1.0,0.0,0.0,18.5,81.5,0.0,0.0,0.0,0.0,0.0
2010,Miguel Cabrera,DET,2010-present,648,25,4.9,5.0,4.7,1.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2011,Miguel Cabrera,DET,2010-present,688,32,5.0,4.3,4.9,0.6,0.0,0.0,0.7,99.0,0.0,0.0,0.1,0.1,0.0
2012,Miguel Cabrera,DET,2010-present,697,30,5.0,4.9,3.4,0.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Miguel Cabrera,DET,2010-present,652,30,5.0,5.0,4.7,1.4,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.2
2014,Miguel Cabrera,DET,2010-present,685,24,4.8,4.5,3.2,0.8,0.0,0.0,96.1,3.8,0.1,0.0,0.0,0.0,0.0
2015,Miguel Cabrera,DET,2010-present,511,21,5.0,3.5,4.8,0.5,0.2,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0
2016,Miguel Cabrera,DET,2010-present,679,25,4.8,4.4,4.3,0.1,0.0,0.0,99.7,0.0,0.0,0.0,0.1,0.0,0.1
2017,Miguel Cabrera,DET,2010-present,529,5,1.2,1.2,3.4,0.0,0.0,0.9,61.4,37.4,0.0,0.0,0.0,0.0,0.2
2019,Miguel Cabrera,DET,2010-present,549,6,3.3,0.2,2.6,0.0,0.0,1.1,76.7,21.9,0.0,0.0,0.0,0.0,0.4
2020,Miguel Cabrera,DET,2010-present,231,4,2.0,1.7,3.4,1.2,0.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.4
2021,Miguel Cabrera,DET,2010-present,526,7,1.8,0.8,1.6,0.1,0.2,0.0,29.5,70.0,0.0,0.0,0.2,0.2,0.0
2005,Robinson Canó,NYY,1970-2009,551,10,3.9,2.0,0.1,2.4,0.0,46.3,0.0,0.0,0.0,2.2,5.4,10.0,36.1
2006,Robinson Canó,NYY,1970-2009,508,16,4.9,2.9,0.1,1.7,0.0,3.1,2.0,0.0,9.6,41.7,22.8,15.4,5.3
2007,Robinson Canó,NYY,1970-2009,669,24,4.2,3.2,0.6,2.8,1.5,0.3,0.7,0.0,1.3,15.4,50.4,27.1,3.3
2008,Robinson Canó,NYY,1970-2009,634,9,1.7,1.4,0.4,1.3,0.0,5.8,0.0,0.0,1.4,24.9,45.9,21.8,0.2
2009,Robinson Canó,NYY,1970-2009,674,21,4.6,3.1,0.2,1.6,0.1,0.6,0.6,0.0,33.1,28.0,37.1,0.0,0.4
2010,Robinson Canó,NYY,2010-present,696,30,4.8,4.1,2.4,1.8,0.0,0.6,0.0,16.5,82.6,0.0,0.0,0.0,0.3
2011,Robinson Canó,NYY,2010-present,681,24,4.3,4.0,0.9,3.7,0.0,0.0,4.6,27.0,67.7,0.0,0.3,0.4,0.0
2012,Robinson Canó,NYY,2010-present,697,32,4.6,4.4,2.9,1.1,0.0,0.0,36.0,50.8,12.8,0.0,0.1,0.0,0.3
2013,Robinson Canó,NYY,2010-present,681,31,4.6,3.8,3.3,1.5,0.0,26.7,68.1,5.1,0.0,0.0,0.0,0.0,0.0
2014,Robinson Canó,SEA,2010-present,665,28,4.8,2.3,3.4,2.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Robinson Canó,SEA,2010-present,674,18,3.7,2.1,1.8,0.9,0.0,6.2,50.9,42.7,0.0,0.0,0.0,0.1,0.0
2016,Robinson Canó,SEA,2010-present,715,30,4.1,4.1,1.3,0.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Robinson Canó,SEA,2010-present,648,17,3.4,2.1,2.0,0.4,0.0,0.0,99.1,0.6,0.0,0.0,0.0,0.2,0.2
2006,Jamey Carroll,COL,1970-2009,534,15,4.0,0.5,3.6,3.6,79.4,8.6,0.2,0.0,0.0,0.7,5.2,2.6,3.2
2011,Jamey Carroll,LAD,2010-present,510,12,3.5,0.0,2.9,3.8,28.0,22.9,0.4,0.0,0.4,0.2,1.8,39.6,6.7
2012,Jamey Carroll,MIN,2010-present,537,14,2.3,0.0,3.5,2.3,0.9,35.4,0.0,0.0,0.0,0.7,2.8,16.8,43.4
1975,Gary Carter,MON,1970-2009,590,19,2.1,3.3,3.8,1.2,0.0,0.0,33.7,13.4,11.9,23.7,13.4,3.2,0.7
1977,Gary Carter,MON,1970-2009,595,23,2.8,4.6,2.9,1.2,0.2,0.0,1.3,2.5,38.5,45.0,10.8,0.3,1.3
1978,Gary Carter,MON,1970-2009,607,22,1.2,3.3,2.9,1.7,0.0,0.0,6.3,26.5,0.2,33.6,31.8,1.2,0.5
1979,Gary Carter,MON,1970-2009,559,27,3.0,4.2,1.8,2.4,0.0,0.0,0.0,2.7,86.2,10.0,0.2,0.7,0.2
1980,Gary Carter,MON,1970-2009,617,28,1.2,4.8,3.1,1.4,0.0,0.2,0.5,27.6,27.4,40.4,3.4,0.2,0.5
1981,Gary Carter,MON,1970-2009,419,17,1.0,4.6,2.4,1.5,0.0,0.0,0.2,74.7,25.1,0.0,0.0,0.0,0.0
1982,Gary Carter,MON,1970-2009,653,32,3.8,4.7,4.1,0.4,0.0,0.0,0.0,28.2,70.9,0.0,0.9,0.0,0.0
1983,Gary Carter,MON,1970-2009,609,26,2.2,3.8,2.2,0.7,0.0,0.0,0.0,12.0,73.7,13.6,0.2,0.5,0.0
1984,Gary Carter,MON,1970-2009,669,29,3.8,4.5,3.3,0.1,0.0,0.0,0.0,74.1,25.6,0.0,0.0,0.0,0.3
1985,Gary Carter,NYM,1970-2009,633,29,3.5,4.4,3.6,0.4,0.0,0.0,0.0,98.7,0.9,0.2,0.2,0.0,0.0
1986,Gary Carter,NYM,1970-2009,573,20,1.3,3.8,3.5,1.4,0.0,0.0,0.0,77.1,22.7,0.0,0.0,0.0,0.2
1987,Gary Carter,NYM,1970-2009,573,12,0.0,2.2,1.5,0.1,0.5,0.2,0.2,43.6,0.7,54.5,0.0,0.3,0.0
1988,Gary Carter,NYM,1970-2009,503,9,0.7,2.0,1.9,0.3,0.6,0.0,0.0,0.0,14.1,71.8,12.7,0.2,0.6
1995,Vinny Castilla,COL,1970-2009,571,16,4.2,4.5,0.3,1.2,0.0,0.2,0.0,0.0,20.8,52.0,25.7,1.1,0.2
1996,Vinny Castilla,COL,1970-2009,673,21,3.9,4.2,0.5,1.6,0.0,0.0,0.0,0.0,11.7,78.0,9.2,0.0,1.0
1997,Vinny Castilla,COL,1970-2009,668,19,4.1,4.4,1.0,0.7,0.0,0.0,0.0,0.0,6.0,89.7,3.6,0.0,0.7
1998,Vinny Castilla,COL,1970-2009,697,24,4.6,4.6,0.8,1.3,0.0,0.0,0.0,28.4,60.3,11.3,0.0,0.0,0.0
1999,Vinny Castilla,COL,1970-2009,674,13,1.2,2.9,1.3,0.4,0.0,0.0,0.0,7.9,80.1,11.4,0.0,0.0,0.6
2001,Vinny Castilla,- - -,1970-2009,581,14,1.1,3.0,0.7,0.6,0.0,0.0,0.0,0.9,0.7,20.8,74.9,2.4,0.3
2002,Vinny Castilla,ATL,1970-2009,578,5,0.0,0.7,0.2,2.4,0.0,0.0,0.0,1.2,13.7,67.6,16.8,0.2,0.5
2003,Vinny Castilla,ATL,1970-2009,578,14,2.3,2.8,0.2,0.8,0.0,0.0,0.0,0.0,0.2,4.5,47.1,46.9,1.4
2004,Vinny Castilla,COL,1970-2009,648,16,1.7,4.4,1.8,0.9,0.0,0.0,0.5,88.3,6.0,5.2,0.0,0.0,0.0
2005,Vinny Castilla,WSN,1970-2009,549,11,0.6,1.7,1.8,1.5,0.0,0.0,0.7,16.4,37.3,38.3,6.2,0.0,1.1
2006,Ronny Cedeno,CHC,1970-2009,572,3,0.2,0.3,0.0,3.7,1.4,19.8,0.9,0.0,0.0,4.7,16.8,55.8,0.7
2010,Ronny Cedeno,PIT,2010-present,502,10,1.3,1.2,0.3,3.5,1.0,0.0,0.2,0.0,0.0,2.2,26.7,51.8,18.1
1973,Ron Cey,LAD,1970-2009,595,21,0.7,2.3,4.1,1.2,0.0,0.0,0.0,11.4,9.2,36.6,37.0,4.9,0.8
1974,Ron Cey,LAD,1970-2009,673,24,1.4,2.7,3.5,0.9,0.0,0.0,0.0,12.5,20.7,63.6,3.3,0.0,0.0
1975,Ron Cey,LAD,1970-2009,662,26,3.1,4.4,3.6,1.5,0.0,0.0,0.0,4.2,53.8,38.1,3.9,0.0,0.0
1976,Ron Cey,LAD,1970-2009,600,28,2.8,4.4,4.8,0.5,0.2,0.0,0.0,36.8,63.0,0.0,0.0,0.0,0.0
1977,Ron Cey,LAD,1970-2009,669,20,0.3,4.0,4.5,0.5,0.0,0.0,0.0,99.4,0.0,0.6,0.0,0.0,0.0
1978,Ron Cey,LAD,1970-2009,667,25,2.1,3.8,4.6,0.1,0.0,0.0,0.0,78.1,21.1,0.6,0.0,0.1,0.0
1979,Ron Cey,LAD,1970-2009,579,23,2.8,4.4,4.7,0.6,0.0,0.0,1.6,44.6,53.5,0.0,0.0,0.0,0.3
1980,Ron Cey,LAD,1970-2009,630,24,0.6,4.4,3.7,0.2,0.0,0.0,0.0,0.0,41.3,58.6,0.0,0.0,0.2
1981,Ron Cey,LAD,1970-2009,359,15,3.2,4.4,3.8,1.0,0.0,0.0,0.0,1.1,98.6,0.0,0.0,0.0,0.3
1982,Ron Cey,LAD,1970-2009,627,18,0.9,3.8,2.9,0.6,0.0,0.0,0.0,4.3,63.2,32.5,0.0,0.0,0.0
1983,Ron Cey,CHC,1970-2009,658,14,2.7,4.1,2.8,0.0,0.2,0.0,0.0,51.4,40.4,7.9,0.0,0.2,0.0
1984,Ron Cey,CHC,1970-2009,580,14,0.2,4.5,3.7,0.6,0.0,0.0,0.0,6.2,22.1,54.8,16.4,0.3,0.2
1985,Ron Cey,CHC,1970-2009,564,10,0.2,3.9,3.3,0.8,0.0,0.2,0.0,1.8,37.8,37.6,22.2,0.0,0.5
2018,Matt Chapman,OAK,2010-present,616,30,3.5,4.0,3.0,3.0,0.0,43.5,1.5,1.3,13.6,27.4,12.7,0.0,0.0
2019,Matt Chapman,OAK,2010-present,670,28,1.0,4.1,3.8,1.5,0.0,58.1,41.9,0.0,0.0,0.0,0.0,0.0,0.0
2021,Matt Chapman,OAK,2010-present,622,19,0.1,2.4,4.5,2.1,0.0,10.9,0.6,19.3,29.9,21.5,14.1,3.4,0.2
2022,Matt Chapman,TOR,2010-present,621,19,0.7,3.8,4.3,1.3,2.3,0.0,0.0,5.2,21.4,28.0,42.7,0.0,0.5
2023,Matt Chapman,TOR,2010-present,581,18,0.9,2.8,4.0,2.0,0.0,0.0,1.5,31.7,45.6,11.0,8.4,1.7,0.0
2024,Matt Chapman,SFG,2010-present,206,7,2.1,3.4,1.6,3.9,0.0,5.8,9.7,28.6,44.2,9.7,1.9,0.0,0.0
1978,Jack Clark,SFG,1970-2009,657,28,4.6,4.7,1.7,3.7,0.0,0.5,72.5,2.3,24.2,0.0,0.5,0.0,0.2
1979,Jack Clark,SFG,1970-2009,598,18,2.1,4.2,3.4,2.4,0.2,0.0,86.1,13.2,0.3,0.0,0.0,0.0,0.2
1980,Jack Clark,SFG,1970-2009,524,22,2.9,4.8,4.6,2.2,0.0,0.0,92.4,0.0,6.5,0.0,0.2,0.4,0.6
1981,Jack Clark,SFG,1970-2009,437,15,1.9,4.5,3.4,1.5,0.0,0.0,82.4,7.8,7.3,2.1,0.0,0.0,0.5
